1608952100,7.74813,80.2148,11470.1
1608952150,7.74682,80.2118,10913.4
1608952200,7.74464,80.2092,10377.1
1608952250,7.74276,80.2058,9858.23
1608952300,7.7417,80.2009,9355.42
1608952350,7.7406,80.1949,8867.52
1608952400,7.73918,80.1882,8393.48
1608952450,7.73734,80.1807,7932.37
1608952500,7.73497,80.1726,7483.34
1608952550,7.73198,80.1643,7045.65
1608952600,7.72884,80.1562,6618.62
1608952650,7.72597,80.1487,6201.62
1608952700,7.72348,80.142,5794.09
1608952750,7.72121,80.1361,5395.52
1608952800,7.71903,80.1306,5005.44
1608952850,7.71691,80.1256,4623.41
1608952900,7.71482,80.1211,4249.04
1608952950,7.71276,80.1171,3881.95
1608953000,7.71072,80.1136,3521.81
1608953050,7.70877,80.1106,3168.3
1608953100,7.70715,80.108,2821.12
1608953150,7.70602,80.1058,2480.01
1608953200,7.70514,80.1037,2144.71
1608953250,7.70429,80.1014,1814.98
1608953300,7.7033,80.0991,1490.59
1608953350,7.70193,80.0967,1171.34
1608953400,7.69967,80.0943,857.035
1608953450,7.69657,80.0921,547.485
1608953500,7.69361,80.0904,242.517
1608953541,7.69179,80.0894,-4.25248
